,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Former Yugoslavia,57,58.3,59.4,63.7,70.2,72,75,77.2,79.9,78.5,79.4,75.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,250,262,265,281,306,325,343,356,371,385,397,431,440,449,453,469,484,478,485,497,512,521,528,535,543,546,545,540,546,509,541,545,545,555,544,552,538,534,554,545,507,532
French Guiana,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.9,0.9,1,1.1,1.1,0,0,0,0,0,0,0,0,0,0
French Polynesia,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7
Gabon,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1.1,1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2.1,2,1.9,2,2.3,2.2,2.2,2.3,2.2,2.3
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,11.1,9.4,8.7,6.7,7,7.1,7.9,7.9,7.3,6.8,7.2,7.1,6.8,7.2,7.2,8.2,8.3,8.4,10,10,9.5,9.9,10.2,10.6,11.3,11.3,11.9,11.6,11.1,12.4
Germany,0,0,0,0,0,0,0,0,0,0,0,507,505,495,496,504,521,520,524,521,542,552,552,575,582,581,597,601,602,560,595,577,593,604,595,614,618,622,610,580,548,559
"Germany, East",98.7,94.7,96.7,98.7,110.7,113.8,115.8,113.7,117.7,117.6,103.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",371,371,367,374,395,408,409,418,430,412,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,5.3,5.3,4.9,2.6,1.9,3,4.4,4.6,4.8,5.2,5.7,6.1,6.5,6.2,6,6,6.6,6.8,4.7,5.8,7.2,7.8,7.1,5.8,5.8,6.7,8.2,6.8,8.1,8.8,9.9,10.9,11.7,12.6,12.6,11.2,11.4,12.9,14.4,16.7,20.4,21.3
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Greece,21.4,21.4,21.6,22.3,22.9,25.8,26.2,27.8,29.4,30.9,32.8,34.1,35.3,36.4,37.7,38.6,40.5,41,43.9,46.9,50.3,50,50.7,55,56,56.5,56.6,59.6,59.7,58.2,54,54.2,53.5,52,46,48,50,51,50,45,43,53
Greenland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Guadeloupe,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.3,1.5,1.6,1.6,1.7,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,0,0,0
Guam,1.1,1,1,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.4,1.6,1.7,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.6,1.7
